date,open,high,low,close,volume,symbol
2025-08-28,16.99,17.039,16.89,17.0,28336644,INFY
2025-08-27,17.23,17.39,17.16,17.36,10264959,INFY
2025-08-26,17.17,17.33,17.13,17.22,14770208,INFY
2025-08-25,17.43,17.455,17.3,17.33,17187396,INFY
2025-08-22,17.0,17.38,16.98,17.34,33953355,INFY
2025-08-21,16.91,17.055,16.89,17.05,19974125,INFY
2025-08-20,17.07,17.19,16.965,17.01,22949880,INFY
2025-08-19,16.48,16.675,16.46,16.6,18923314,INFY
2025-08-18,16.36,16.43,16.26,16.41,11116238,INFY
2025-08-15,16.4,16.66,16.4,16.56,9001135,INFY
2025-08-14,16.33,16.41,16.1146,16.36,18675523,INFY
2025-08-13,16.14,16.42,16.08,16.38,27608682,INFY
2025-08-12,15.98,16.12,15.91,16.07,18403233,INFY
2025-08-11,15.99,16.17,15.92,15.98,20161776,INFY
2025-08-08,16.09,16.12,15.955,15.99,13909877,INFY
2025-08-07,16.17,16.33,15.98,16.02,19616576,INFY
2025-08-06,16.14,16.19,15.97,16.07,16992590,INFY
2025-08-05,16.47,16.49,16.19,16.2,22539895,INFY
2025-08-04,16.55,16.675,16.44,16.48,18306007,INFY
2025-08-01,16.65,16.65,16.37,16.41,20078427,INFY
2025-07-31,17.01,17.02,16.71,16.72,15926444,INFY
2025-07-30,17.12,17.125,16.89,16.95,13279144,INFY
2025-07-29,17.28,17.29,17.1148,17.21,11563738,INFY
2025-07-28,17.32,17.3367,17.06,17.16,21715441,INFY
2025-07-25,17.46,17.46,17.25,17.37,19088058,INFY
2025-07-24,17.88,17.88,17.59,17.68,14676110,INFY
2025-07-23,18.46,18.83,18.395,18.45,24739708,INFY
2025-07-22,18.12,18.3,18.1036,18.26,18870493,INFY
2025-07-21,18.19,18.34,18.165,18.19,11469297,INFY
2025-07-18,18.35,18.38,18.135,18.21,9706758,INFY
2025-07-17,18.36,18.52,18.2824,18.47,13528151,INFY
2025-07-16,18.47,18.51,18.34,18.5,15715456,INFY
2025-07-15,18.25,18.32,18.195,18.22,14013677,INFY
2025-07-14,18.01,18.12,17.9,18.01,14495423,INFY
2025-07-11,18.3,18.35,18.185,18.19,16461228,INFY
2025-07-10,18.36,18.42,18.055,18.1,27407642,INFY
2025-07-09,18.99,19.0,18.715,18.82,13092809,INFY
2025-07-08,18.89,19.06,18.82,18.89,10832422,INFY
2025-07-07,18.86,18.96,18.76,18.82,8790483,INFY
2025-07-03,18.9,18.98,18.86,18.96,4267315,INFY
2025-07-02,18.75,18.89,18.67,18.88,9428318,INFY
2025-07-01,18.71,18.98,18.56,18.9,15010108,INFY
2025-06-30,18.55,18.56,18.46,18.53,12743302,INFY
2025-06-27,18.64,18.66,18.41,18.52,13502088,INFY
2025-06-26,18.63,18.665,18.52,18.6,14327729,INFY
2025-06-25,18.57,18.64,18.49,18.51,10846475,INFY
2025-06-24,18.15,18.31,18.15,18.3,8763746,INFY
2025-06-23,17.86,18.1,17.83,18.1,15272755,INFY
2025-06-20,18.33,18.37,17.68,17.68,37327068,INFY
2025-06-18,18.65,18.66,18.43,18.43,10915923,INFY
2025-06-17,18.75,18.86,18.67,18.67,10129078,INFY
2025-06-16,18.73,18.82,18.7,18.75,9604106,INFY
2025-06-13,18.48,18.56,18.37,18.42,10471883,INFY
2025-06-12,18.48,18.63,18.39,18.56,11362622,INFY
2025-06-11,18.88,18.93,18.595,18.61,15531321,INFY
2025-06-10,18.57,18.67,18.455,18.51,9545898,INFY
2025-06-09,18.23,18.3554,18.22,18.29,5386657,INFY
2025-06-06,18.19,18.255,18.15,18.2,6426289,INFY
2025-06-05,18.0,18.0,17.85,17.93,9591066,INFY
2025-06-04,18.035,18.1,17.815,17.85,7541704,INFY
2025-06-03,18.02,18.12,17.93,18.04,11219803,INFY
